x,y
4.500000000000000000e+02,2.150000000000000000e+02
4.493915379665194791e+02,2.120403270399033602e+02
4.487830759330390151e+02,2.090806540798067203e+02
4.481746138995584943e+02,2.061209811197100805e+02
4.475661518660780303e+02,2.031613081596134407e+02
4.469576898325975094e+02,2.002016351995168009e+02
4.463492277991170454e+02,1.972419622394201610e+02
4.457407657656365245e+02,1.942822892793234928e+02
4.451323037321560605e+02,1.913226163192268530e+02
4.445238416986755396e+02,1.883629433591302131e+02
4.439153796651950756e+02,1.854032703990335733e+02
4.433069176317145548e+02,1.824435974389369335e+02
4.426984555982340908e+02,1.794839244788402937e+02
4.420899935647535699e+02,1.765242515187436538e+02
4.389868641187995877e+02,1.759260825599722295e+02
4.358837346728456623e+02,1.753279136012008053e+02
4.327806052268916801e+02,1.747297446424293810e+02
4.296774757809376979e+02,1.741315756836579567e+02
4.265743463349837725e+02,1.735334067248865324e+02
4.234712168890297903e+02,1.729352377661151081e+02
4.203680874430758081e+02,1.723370688073436838e+02
4.172649579971218259e+02,1.717388998485722595e+02
4.141618285511679005e+02,1.711407308898008353e+02
4.110586991052139183e+02,1.705425619310294110e+02
4.079555696592599361e+02,1.699443929722579867e+02
4.048524402133060107e+02,1.693462240134865624e+02
4.017493107673520285e+02,1.687480550547151381e+02
3.985266213082049944e+02,1.680261428968121038e+02
3.953039318490580172e+02,1.673042307389090979e+02
3.920812423899109831e+02,1.665823185810060636e+02
3.888585529307640059e+02,1.658604064231030577e+02
3.856358634716169718e+02,1.651384942652000234e+02
3.853860973813004875e+02,1.617906374920994494e+02
3.851363312909840033e+02,1.584427807189988755e+02
3.848865652006675191e+02,1.550949239458983016e+02
3.846367991103510349e+02,1.517470671727977276e+02
3.843870330200345506e+02,1.483992103996971537e+02
3.841372669297180664e+02,1.450513536265965797e+02
3.839280361673013999e+02,1.419078629282399788e+02
3.837188054048847903e+02,1.387643722298833779e+02
3.835095746424681238e+02,1.356208815315267771e+02
3.833003438800514573e+02,1.324773908331701762e+02
3.830911131176348476e+02,1.293339001348135753e+02
3.828818823552181811e+02,1.261904094364569744e+02
3.826726515928015147e+02,1.230469187381003593e+02
3.824634208303849050e+02,1.199034280397437726e+02
3.822541900679682385e+02,1.167599373413871575e+02
3.820449593055515720e+02,1.136164466430305566e+02
3.818357285431349624e+02,1.104729559446739557e+02
3.816264977807182959e+02,1.073294652463173549e+02
3.798296228647910766e+02,1.043705522462110196e+02
3.780327479488638573e+02,1.014116392461046701e+02
3.762358730329365812e+02,9.845272624599833478e+01
3.744389981170093620e+02,9.549381324589199949e+01
3.714169700793028710e+02,9.553398753281967970e+01
3.683949420415963232e+02,9.557416181974735991e+01
3.653729140038898322e+02,9.561433610667504013e+01
3.623508859661832844e+02,9.565451039360273455e+01
3.593288579284767934e+02,9.569468468053041477e+01
3.563068298907703024e+02,9.573485896745809498e+01
3.532848018530637546e+02,9.577503325438577519e+01
