x,y
4.500000000000000000e+02,2.150000000000000000e+02
4.497024775794770903e+02,2.118346426045401358e+02
4.494049551589542375e+02,2.086692852090802717e+02
4.491074327384313278e+02,2.055039278136204359e+02
4.488099103179084750e+02,2.023385704181605718e+02
4.485123878973855653e+02,1.991732130227007076e+02
4.482148654768626557e+02,1.960078556272408719e+02
4.479173430563398028e+02,1.928424982317810077e+02
4.476198206358168932e+02,1.896771408363211435e+02
4.473222982152940403e+02,1.865117834408612794e+02
4.470247757947711307e+02,1.833464260454014152e+02
4.467272533742482779e+02,1.801810686499415795e+02
4.464297309537253682e+02,1.770157112544817153e+02
4.437891584427391649e+02,1.750462523149467984e+02
4.411485859317529616e+02,1.730767933754118530e+02
4.385080134207667584e+02,1.711073344358769361e+02
4.354657899497864264e+02,1.709614379351497746e+02
4.324235664788061513e+02,1.708155414344226415e+02
4.293813430078258762e+02,1.706696449336955084e+02
4.263391195368455442e+02,1.705237484329683468e+02
4.232968960658652122e+02,1.703778519322411853e+02
4.202546725948849371e+02,1.702319554315140522e+02
4.172124491239046620e+02,1.700860589307869191e+02
4.141702256529243300e+02,1.699401624300597575e+02
4.107470206558668337e+02,1.699767178060290291e+02
4.073238156588093375e+02,1.700132731819982723e+02
4.039006106617518412e+02,1.700498285579675439e+02
4.004774056646943450e+02,1.700863839339368155e+02
3.970542006676368487e+02,1.701229393099060871e+02
3.936309956705793525e+02,1.701594946858753303e+02
3.902077906735218562e+02,1.701960500618446019e+02
3.891246380660049340e+02,1.735222500654923863e+02
3.880414854584880118e+02,1.768484500691401706e+02
3.869583328509710327e+02,1.801746500727879265e+02
3.858751802434541105e+02,1.835008500764357109e+02
3.847920276359371883e+02,1.868270500800834952e+02
3.845895865851201734e+02,1.901953753021740852e+02
3.843871455343031585e+02,1.935637005242646751e+02
3.841847044834861435e+02,1.969320257463552650e+02
3.809207029770997792e+02,1.977156754115675881e+02
3.776567014707134149e+02,1.984993250767799395e+02
3.743926999643270506e+02,1.992829747419922626e+02
3.708511266239571569e+02,1.995523618136793687e+02
3.673095532835872064e+02,1.998217488853665031e+02
3.637679799432173127e+02,2.000911359570536092e+02
3.602264066028473621e+02,2.003605230287407437e+02
3.566848332624774685e+02,2.006299101004278498e+02
3.539135880874080158e+02,2.031132021895086268e+02
3.511423429123385631e+02,2.055964942785894038e+02
3.483710977372691104e+02,2.080797863676701809e+02
3.482278084188938578e+02,2.114827187846557024e+02
3.480845191005186052e+02,2.148856512016411955e+02
3.479412297821433526e+02,2.182885836186267170e+02
3.477979404637680432e+02,2.216915160356122385e+02
3.476546511453927906e+02,2.250944484525977600e+02
3.475113618270175380e+02,2.284973808695832531e+02
3.473680725086422854e+02,2.319003132865687746e+02
